run_id,task,model,sample_id,subtype,is_present,flagged,channel,confidence,confidence_is_decision_level,outcome_truth,outcome_pred,status,parser_llm
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_02_clean,cap_open,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_02_clean,tube_drop,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_02_clean,tube_empty,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_02_clean,vortex_off,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_02_clean,wrong_orientation,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_02_clean,wrong_rack,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_02_clean,rack_flipped,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_02_clean,other_failure,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_03_tube_empty_fail_tube_empty_01,cap_open,0,0,negative,0.7,True,failure,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_03_tube_empty_fail_tube_empty_01,tube_drop,0,0,negative,0.7,True,failure,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_03_tube_empty_fail_tube_empty_01,tube_empty,1,0,positive,0.7,True,failure,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_03_tube_empty_fail_tube_empty_01,vortex_off,0,0,negative,0.7,True,failure,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_03_tube_empty_fail_tube_empty_01,wrong_orientation,0,0,negative,0.7,True,failure,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_03_tube_empty_fail_tube_empty_01,wrong_rack,0,0,negative,0.7,True,failure,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_03_tube_empty_fail_tube_empty_01,rack_flipped,0,0,negative,0.7,True,failure,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_03_tube_empty_fail_tube_empty_01,other_failure,0,0,negative,0.7,True,failure,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_01_clean,cap_open,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_01_clean,tube_drop,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_01_clean,tube_empty,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_01_clean,vortex_off,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_01_clean,wrong_orientation,0,0,negative,0.7,True,success,failure,completed,
p1_b,vortex_closed_binary,claude_opus_4_8,real_human_carrie_00_success_success_01_clean,wrong_rack,0,0,negative,0.7,True,success,failure,completed,
